artikelnummer,image_name,typicality
6039991,6039991_1.jpg,0.84755856
6062701,6062701_1.jpg,0.8118934
6064801,6064801_1.jpg,0.744338
7142910,7142910_1.jpg,0.77374077
6325134,6325134_1.jpg,0.89717156
6368421,6368421_1.jpg,0.48716176
6389516,6389516_1.jpg,0.79299587
6389517,6389517_1.jpg,0.8127551
6458766,6458766_1.jpg,0.8137163
6471837,6471837_1.jpg,0.6468751
6499893,6499893_1.jpg,0.83603823
6499897,6499897_1.jpg,0.84607303
6506935,6506935_1.jpg,0.8002023
6506941,6506941_1.jpg,0.6792715
6506949,6506949_1.jpg,0.8031227
7187077,7187077_1.jpg,0.88529783
6515414,6515414_1.jpg,0.4063878
6515416,6515416_1.jpg,0.74384576
6525922,6525922_1.jpg,0.22995149
6537653,6537653_1.jpg,0.86298174
6537654,6537654_1.jpg,0.8295973
6537655,6537655_1.jpg,0.83774614
6537688,6537688_1.jpg,0.8355022
6537715,6537715_1.jpg,0.8301979
6544855,6544855_1.jpg,0.8374017
6544859,6544859_1.jpg,0.81207675
6544860,6544860_1.jpg,0.7773598
6544861,6544861_1.jpg,0.7425957
6544862,6544862_1.jpg,0.7777119
6544866,6544866_1.jpg,0.7891919
6544868,6544868_1.jpg,0.8166851
6544869,6544869_1.jpg,0.49887902
6544870,6544870_1.jpg,0.51568997
6544871,6544871_1.jpg,0.52228683
6544873,6544873_1.jpg,0.6580513
6545685,6545685_1.jpg,0.8179155
6545686,6545686_1.jpg,0.77421767
6560829,6560829_1.jpg,0.62529707
6560830,6560830_1.jpg,0.644181
6560962,6560962_1.jpg,0.8426204
6562264,6562264_1.jpg,0.87520015
6575891,6575891_1.jpg,0.70174783
6577412,6577412_1.jpg,0.6924544
6577413,6577413_1.jpg,0.5745739
6582577,6582577_1.jpg,0.72536767
6582578,6582578_1.jpg,0.7148034
6589909,6589909_1.jpg,0.83333844
6589910,6589910_1.jpg,0.775231
6589915,6589915_1.jpg,0.84764236
6617110,6617110_1.jpg,0.66316783
6617111,6617111_1.jpg,0.64051193
7265704,7265704_1.jpg,0.8599761
6648057,6648057_1.jpg,0.8961536
6652384,6652384_1.jpg,0.8411901
6656286,6656286_1.jpg,0.7928863
6656492,6656492_1.jpg,0.8070283
6659143,6659143_1.jpg,0.7065958
6659144,6659144_1.jpg,0.67824256
6659146,6659146_1.jpg,0.73165447
6659148,6659148_1.jpg,0.613643
